"operator","technology","download","speed_kbps","signal_strength","lsa"
"AIRTEL","4G","download","19287","-84","Haryana"
"JIO","4G","upload","918","-107","Maharashtra"
"Vi India","4G","download","12386","-84","Mumbai"
"JIO","4G","download","8423","-101","Haryana"
"JIO","4G","upload","4806","-74","Haryana"
"AIRTEL","4G","upload","18748","-92","Haryana"
"JIO","4G","download","3977","-97","Haryana"
"AIRTEL","4G","upload","7058","-90","Punjab"
"AIRTEL","4G","upload","300","na","Bihar"
"AIRTEL","4G","upload","2821","-98","Haryana"
"JIO","4G","upload","10324","-103","Bihar"
"AIRTEL","4G","upload","8324","-94","Bihar"
"AIRTEL","4G","download","27047","-78","Haryana"
"AIRTEL","4G","download","29895","-79","Haryana"
"JIO","4G","download","20094","-105","Haryana"
"JIO","4G","upload","152","-109","Bihar"
"CELLONE","3G","download","1954","-82","Andhra Pradesh"
"JIO","4G","upload","13823","-88","Rajasthan"
"JIO","4G","download","886","-111","Kerala"
"JIO","4G","upload","4920","-74","UP West"
"JIO","4G","upload","727","-97","Madhya Pradesh"
"AIRTEL","4G","upload","151","-108","Haryana"
"JIO","4G","download","17061","-104","Punjab"
"AIRTEL","4G","upload","1945","-108","Haryana"
"AIRTEL","4G","download","8423","-93","Haryana"
"JIO","4G","upload","22503","-79","Haryana"
"JIO","4G","download","77979","-80","Haryana"
"AIRTEL","4G","download","7806","-100","Haryana"
"JIO","4G","download","18106","-61","Haryana"
"AIRTEL","4G","upload","1573","-98","Haryana"
"AIRTEL","4G","upload","7762","-89","Haryana"
"Vi India","4G","download","14587","-75","Maharashtra"
"JIO","4G","upload","952","-70","Haryana"
"JIO","4G","download","3918","-99","Tamil Nadu"
"AIRTEL","4G","download","716","na","Gujarat"
"JIO","4G","upload","139","-105","Haryana"
"JIO","4G","download","15649","-91","Haryana"
"AIRTEL","4G","download","6477","-106","West Bengal"
"AIRTEL","4G","upload","5712","-96","Chennai"
"JIO","4G","upload","80","-112","Haryana"
"JIO","4G","upload","26926","-80","Haryana"
"AIRTEL","4G","download","26571","-93","Haryana"
"AIRTEL","4G","download","4035","-102","Haryana"
"JIO","4G","upload","3526","-92","UP West"
"JIO","4G","download","18327","-85","Haryana"
"JIO","4G","upload","471","-98","Haryana"
"AIRTEL","4G","download","4102","-106","Haryana"
"JIO","4G","download","22328","-105","Tamil Nadu"
"AIRTEL","4G","upload","2174","-103","Himachal Pradesh"
"Vi India","4G","upload","22464","-89","Chennai"
"AIRTEL","4G","upload","5993","-98","Haryana"
"AIRTEL","4G","download","11752","-92","Haryana"
"AIRTEL","4G","upload","25755","-83","Haryana"
"JIO","4G","download","26358","-81","Haryana"
"AIRTEL","4G","upload","181","-100","Haryana"
"JIO","4G","download","16127","-101","Chennai"
"Vi India","4G","upload","1768","-84","Kolkata"
"JIO","4G","upload","29183","-80","Haryana"
"AIRTEL","4G","download","547","na","Kerala"
"JIO","4G","upload","3554","-103","Bihar"
"AIRTEL","4G","upload","1297","-109","Maharashtra"
"AIRTEL","4G","download","6069","-76","Haryana"
"Vi India","4G","download","3267","-112","Tamil Nadu"
"JIO","4G","download","8834","-97","Haryana"
"JIO","4G","download","14356","-84","Haryana"
"JIO","4G","upload","145","-101","Haryana"
"AIRTEL","4G","download","1309","na","Haryana"
"JIO","4G","upload","8764","-91","Haryana"
"AIRTEL","4G","download","9739","-99","Assam"
"JIO","4G","upload","16367","-89","Andhra Pradesh"
"JIO","4G","download","747","na","Bihar"
"Vi India","4G","upload","6045","-102","Gujarat"
"JIO","4G","download","285","na","Kolkata"
"JIO","4G","upload","3681","-106","Bihar"
"AIRTEL","4G","download","4606","-106","Punjab"
"AIRTEL","4G","upload","17742","-83","Haryana"
"JIO","4G","download","27964","-85","Haryana"
"AIRTEL","4G","upload","89","-99","Haryana"
"Vi India","4G","download","1633","na","Maharashtra"
"AIRTEL","4G","upload","21287","-82","Haryana"
"JIO","4G","download","21766","-75","Haryana"
"JIO","4G","download","2512","-109","Bihar"
"JIO","4G","download","8226","-87","Haryana"
"JIO","4G","upload","365","-104","Haryana"
"JIO","4G","upload","11844","-100","Madhya Pradesh"
"AIRTEL","4G","upload","412","-97","Haryana"
"AIRTEL","4G","upload","15","-103","West Bengal"
"JIO","4G","upload","281","-106","West Bengal"
"AIRTEL","4G","upload","2856","-112","Mumbai"
"JIO","4G","download","17640","-92","Haryana"
"JIO","4G","upload","18030","-102","Haryana"
"AIRTEL","4G","upload","266","-109","Haryana"
"JIO","4G","download","14347","-89","Haryana"
"AIRTEL","4G","upload","57811","-69","Bihar"
"JIO","4G","download","26431","-88","Haryana"
"JIO","4G","upload","556","-97","Maharashtra"
"JIO","4G","download","14257","-77","Haryana"
"AIRTEL","4G","download","32958","-81","Haryana"
"JIO","4G","download","36566","-104","Haryana"
"Vi India","4G","upload","4556","-98","Kolkata"
"AIRTEL","4G","download","30677","-82","Haryana"
"AIRTEL","4G","upload","9649","-93","Haryana"
"AIRTEL","4G","upload","152","na","Haryana"
"JIO","4G","upload","381","-76","Haryana"
"JIO","4G","download","26079","-90","Haryana"
"AIRTEL","4G","upload","20091","-95","Haryana"
"AIRTEL","4G","download","17136","-102","Haryana"
"AIRTEL","4G","upload","7091","-91","Haryana"
"AIRTEL","4G","download","18208","-87","Haryana"
"AIRTEL","4G","download","24384","-103","Haryana"
"JIO","4G","upload","1800","-112","Andhra Pradesh"
"JIO","4G","upload","152","-84","Haryana"
"AIRTEL","4G","download","15584","-101","Andhra Pradesh"
"Vi India","4G","upload","4222","-95","West Bengal"
"AIRTEL","4G","upload","1312","-104","Haryana"
"AIRTEL","4G","download","58880","-93","Haryana"
"JIO","4G","download","1316","-111","Haryana"
"JIO","4G","download","29805","-99","Haryana"
"CELLONE","3G","upload","98","-90","Tamil Nadu"
"JIO","4G","download","14557","-107","Kerala"
"JIO","4G","upload","22499","-99","Maharashtra"
"JIO","4G","download","8118","-81","Haryana"
"JIO","4G","upload","76","-98","Haryana"
"AIRTEL","4G","download","24426","-95","Haryana"
"AIRTEL","4G","download","45315","-93","Haryana"
"JIO","4G","download","43011","-87","Haryana"
"JIO","4G","upload","6747","-109","Haryana"
"Vi India","4G","download","73642","-99","Gujarat"
"AIRTEL","4G","upload","246","na","Haryana"
"JIO","4G","upload","4175","na","Karnataka"
"JIO","4G","upload","513","-112","Kerala"
"AIRTEL","4G","download","86998","-93","Haryana"
"AIRTEL","4G","upload","1346","-99","Haryana"
"JIO","4G","upload","1914","-100","UP West"
"JIO","4G","download","15895","-76","Kolkata"
"JIO","4G","upload","25810","-80","Haryana"
"JIO","4G","download","17929","-78","Haryana"
"AIRTEL","4G","upload","11885","-92","Haryana"
"AIRTEL","4G","download","50044","-94","Haryana"
"JIO","4G","download","20973","-86","Haryana"
"AIRTEL","4G","download","46554","-101","Haryana"
"AIRTEL","4G","download","5088","-94","Haryana"
"JIO","4G","upload","82","-75","Haryana"
"AIRTEL","4G","upload","4333","-96","Haryana"
"AIRTEL","4G","download","3794","-98","Haryana"
"AIRTEL","4G","download","35535","-75","Haryana"
"JIO","4G","upload","21746","-76","Rajasthan"
"JIO","4G","upload","3457","-99","Maharashtra"
"AIRTEL","4G","upload","5220","-103","Haryana"
"AIRTEL","4G","upload","4047","-81","Haryana"
"AIRTEL","4G","upload","4902","-106","Haryana"
"AIRTEL","4G","upload","750","-103","Haryana"
"JIO","4G","upload","2473","-102","Delhi"
"AIRTEL","4G","upload","1733","-105","Haryana"
"AIRTEL","4G","upload","312","-105","Haryana"
"JIO","4G","download","18325","-98","Mumbai"
"Vi India","4G","upload","11326","-109","UP West"
"AIRTEL","4G","download","9715","-112","Delhi"
"JIO","4G","upload","30352","-100","Haryana"
"JIO","4G","upload","16375","-89","Maharashtra"
"JIO","4G","download","5422","-65","Haryana"
"AIRTEL","4G","download","49419","-93","Haryana"
"AIRTEL","4G","upload","1879","-101","Haryana"
"JIO","4G","download","21779","-99","Haryana"
"AIRTEL","4G","download","33000","-82","Haryana"
"AIRTEL","4G","upload","3536","-93","Haryana"
"JIO","4G","upload","962","-111","Punjab"
"AIRTEL","4G","download","6120","-109","Haryana"
"JIO","4G","upload","11202","-98","Haryana"
"AIRTEL","4G","download","7559","na","Haryana"
"JIO","4G","upload","5834","-84","Haryana"
"JIO","4G","upload","26102","-97","Kolkata"
"JIO","4G","download","23126","-88","Mumbai"
"JIO","4G","upload","10425","-99","Haryana"
"JIO","4G","download","16806","-88","Haryana"
"AIRTEL","4G","upload","229","na","Haryana"
"AIRTEL","4G","upload","27490","-84","Haryana"
"AIRTEL","4G","download","65564","-94","Haryana"
"AIRTEL","4G","upload","2600","-96","Haryana"
"AIRTEL","4G","upload","3480","-107","Haryana"
"AIRTEL","4G","upload","6468","-82","UP East"
"JIO","4G","download","45812","-79","Haryana"
"Vi India","4G","upload","21099","-95","Gujarat"
"AIRTEL","4G","download","9745","-111","Rajasthan"
"JIO","4G","download","23345","-83","Haryana"
"JIO","4G","download","6067","-102","Haryana"
"JIO","4G","upload","8606","-73","Maharashtra"
"JIO","4G","download","18696","-95","Haryana"
"JIO","4G","download","24781","-84","UP East"
"JIO","4G","upload","161","na","Haryana"
"AIRTEL","4G","upload","1413","-94","Haryana"
"AIRTEL","4G","upload","2611","-91","Haryana"
"JIO","4G","upload","16240","-81","UP West"
"JIO","4G","upload","10045","-73","Delhi"
"JIO","4G","upload","6243","-77","Bihar"
"JIO","4G","upload","94","-85","Andhra Pradesh"
"JIO","4G","download","4802","na","Tamil Nadu"
"JIO","4G","download","5167","-84","Haryana"
"JIO","4G","upload","4848","-106","Haryana"
"AIRTEL","4G","download","11349","-94","Haryana"
"JIO","4G","download","22112","-93","Karnataka"
"JIO","4G","download","27039","-87","Delhi"
"JIO","4G","upload","9938","-88","UP West"
"AIRTEL","4G","download","4810","-84","Haryana"
"AIRTEL","4G","upload","282","na","UP West"
"JIO","4G","upload","461","-110","Orissa"
"AIRTEL","4G","download","20447","-77","Andhra Pradesh"
"JIO","4G","upload","3526","-103","Maharashtra"
"JIO","4G","download","581","-109","Maharashtra"
"JIO","4G","download","21744","-92","UP East"
"JIO","4G","upload","1763","-76","Haryana"
"JIO","4G","upload","3152","-106","West Bengal"
"JIO","4G","upload","8349","-91","Haryana"
"Vi India","4G","download","19797","-101","Andhra Pradesh"
"CELLONE","3G","upload","1000","-108","Andhra Pradesh"
"AIRTEL","4G","upload","10353","-80","Chennai"
"JIO","4G","download","22967","-91","Rajasthan"
"JIO","4G","upload","7448","-90","Maharashtra"
"JIO","4G","upload","9011","-90","Maharashtra"
"JIO","4G","download","1719","na","Madhya Pradesh"
"AIRTEL","4G","upload","12213","-93","Maharashtra"
"AIRTEL","4G","download","20625","-83","Haryana"
"JIO","4G","download","88892","-90","Rajasthan"
"AIRTEL","4G","upload","1371","-102","UP East"
"AIRTEL","4G","download","26654","-100","Haryana"
"AIRTEL","4G","download","10268","na","Kerala"
"Vi India","4G","upload","12893","-101","Tamil Nadu"
"AIRTEL","4G","upload","6559","-82","Haryana"
"AIRTEL","4G","upload","10873","-98","Haryana"
"JIO","4G","download","10323","-86","Haryana"
"JIO","4G","download","60387","-90","Gujarat"
"JIO","4G","download","4759","-102","UP East"
"AIRTEL","4G","upload","649","-94","Haryana"
"AIRTEL","4G","download","18228","-91","Haryana"
"JIO","4G","download","9041","-86","Haryana"
"JIO","4G","upload","2961","-87","Karnataka"
"JIO","4G","download","5784","-108","Rajasthan"
"JIO","4G","download","69020","-90","Rajasthan"
"JIO","4G","download","68488","-90","Rajasthan"
"AIRTEL","4G","download","23389","-105","Kerala"
"JIO","4G","upload","8200","-90","Rajasthan"
"JIO","4G","upload","9472","-90","Gujarat"
"JIO","4G","upload","24660","-77","Haryana"
"JIO","4G","download","2234","-100","Haryana"
"JIO","4G","download","72056","-90","Tamil Nadu"
"JIO","4G","download","1766","-91","West Bengal"
"JIO","4G","download","56245","-90","Kolkata"
"JIO","4G","upload","4407","-90","Kolkata"
"Vi India","4G","download","21466","-94","West Bengal"
"AIRTEL","4G","upload","7535","-87","Haryana"
"JIO","4G","download","83380","-90","Karnataka"
"AIRTEL","4G","upload","5285","-89","West Bengal"
"JIO","4G","download","56898","-90","Kolkata"
"Vi India","4G","download","6525","-107","Rajasthan"
"JIO","4G","download","38617","-102","Haryana"
"JIO","4G","download","5648","-95","Haryana"
"JIO","4G","download","18099","-86","West Bengal"
"JIO","4G","download","75938","-90","Tamil Nadu"
"JIO","4G","download","74089","-90","Tamil Nadu"
"JIO","4G","upload","14546","-85","West Bengal"
"AIRTEL","4G","upload","428","na","Andhra Pradesh"
"JIO","4G","upload","2289","-90","Bihar"
"JIO","4G","download","60585","-90","Bihar"
"JIO","4G","upload","7520","-90","UP East"
"JIO","4G","upload","8944","-93","Mumbai"
"AIRTEL","4G","download","3924","-106","Haryana"
"JIO","4G","upload","9435","-90","Tamil Nadu"
"JIO","4G","download","73435","-90","Rajasthan"
"JIO","4G","download","39858","-90","Orissa"
"Vi India","4G","upload","10422","-107","Madhya Pradesh"
"JIO","4G","download","58321","-90","Kolkata"
"JIO","4G","upload","2721","-90","Maharashtra"
"AIRTEL","4G","upload","3170","-104","Maharashtra"
"AIRTEL","4G","download","13856","-88","Haryana"
"JIO","4G","download","63810","-90","UP East"
"JIO","4G","upload","9320","-90","Gujarat"
"JIO","4G","upload","94","na","Gujarat"
"JIO","4G","download","3683","-106","Maharashtra"
"JIO","4G","upload","6193","-90","Bihar"
"JIO","4G","download","3243","na","Bihar"
"Vi India","4G","download","6163","-102","West Bengal"
"CELLONE","3G","download","6246","-81","Rajasthan"
"CELLONE","3G","download","571","-51","West Bengal"
"JIO","4G","upload","21744","-91","Haryana"
"Vi India","4G","upload","148","-112","Kerala"
"AIRTEL","4G","upload","773","-102","Haryana"
"AIRTEL","4G","download","8466","-108","Haryana"
"AIRTEL","4G","download","9349","-84","Andhra Pradesh"
"JIO","4G","upload","200","-96","Haryana"
"AIRTEL","4G","download","4492","-106","Bihar"
"JIO","4G","upload","788","-109","Kerala"
"AIRTEL","4G","upload","7811","-107","Haryana"
"AIRTEL","4G","upload","24214","-76","Haryana"
"JIO","4G","upload","33","-79","Haryana"
"JIO","4G","download","2982","-103","Haryana"
"AIRTEL","4G","download","12953","-94","Haryana"
"JIO","4G","upload","5190","-90","Kolkata"
"AIRTEL","4G","upload","318","-98","Haryana"
"AIRTEL","4G","download","14122","-101","Haryana"
"JIO","4G","upload","7547","-90","Maharashtra"
"Vi India","4G","download","1483","-107","Tamil Nadu"
"Vi India","4G","download","9226","-106","Kolkata"
"JIO","4G","upload","3189","-90","Karnataka"
"JIO","4G","download","79122","-90","Kolkata"
"JIO","4G","download","69049","-90","Maharashtra"
"JIO","4G","upload","90","-102","Orissa"
"JIO","4G","download","2873","-91","Orissa"
"AIRTEL","4G","download","5375","-85","Haryana"
"JIO","4G","download","48622","-85","Haryana"
"JIO","4G","upload","195","na","UP East"
"JIO","4G","upload","5151","-84","West Bengal"
"AIRTEL","4G","download","42118","-110","Orissa"
"AIRTEL","4G","upload","21847","-82","Haryana"
"AIRTEL","4G","upload","8235","-89","Haryana"
"JIO","4G","upload","4750","-66","Haryana"
"AIRTEL","4G","upload","1831","-107","Haryana"
"JIO","4G","upload","11981","-91","Kerala"
"AIRTEL","4G","download","43218","-81","Haryana"
"AIRTEL","4G","download","45097","-90","Tamil Nadu"
"AIRTEL","4G","download","58638","-94","Haryana"
"AIRTEL","4G","download","22703","-97","Haryana"
"AIRTEL","4G","upload","1327","-98","Haryana"
"JIO","4G","download","3859","-95","Haryana"
"JIO","4G","upload","16974","-106","Haryana"
"AIRTEL","4G","upload","123","na","Haryana"
"JIO","4G","download","35169","-68","Haryana"
"JIO","4G","upload","6026","-83","UP West"
"AIRTEL","4G","download","7306","-96","Punjab"
"AIRTEL","4G","download","37659","-96","Haryana"
"JIO","4G","upload","149","-94","Haryana"
"AIRTEL","4G","upload","945","-111","Kerala"
"AIRTEL","4G","upload","41987","-87","Chennai"
"AIRTEL","4G","upload","1149","-108","Haryana"
"JIO","4G","download","1277","-104","Haryana"
"JIO","4G","download","6452","-104","Kerala"
"AIRTEL","4G","download","16082","-90","Delhi"
"JIO","4G","upload","30688","-94","Haryana"
"JIO","4G","upload","19536","-108","Haryana"
"AIRTEL","4G","download","18581","-98","Haryana"
"JIO","4G","upload","28459","-83","Haryana"
"AIRTEL","4G","upload","41","-100","Mumbai"
"AIRTEL","4G","upload","598","-91","Haryana"
"JIO","4G","upload","24755","-85","Delhi"
"Vi India","4G","download","42277","-100","UP East"
"JIO","4G","download","38054","-67","Haryana"
"JIO","4G","download","29142","-104","Maharashtra"
"JIO","4G","upload","18691","-99","Madhya Pradesh"
"AIRTEL","4G","upload","10147","-108","Andhra Pradesh"
"JIO","4G","upload","10093","-104","Maharashtra"
"AIRTEL","4G","upload","10969","-106","Haryana"
"Vi India","4G","download","15755","-105","Kerala"
"AIRTEL","4G","download","58910","-104","Haryana"
"AIRTEL","4G","upload","325","-97","Haryana"
"AIRTEL","4G","upload","3579","na","Maharashtra"
"AIRTEL","4G","upload","7150","-91","Haryana"
"JIO","4G","download","31748","-96","Haryana"
"JIO","4G","download","49430","-86","Haryana"
"AIRTEL","4G","upload","2253","na","Maharashtra"
"JIO","4G","download","38939","-77","Haryana"
"JIO","4G","download","29987","-109","Maharashtra"
"JIO","4G","download","21451","-98","West Bengal"
"JIO","4G","download","7712","-106","Haryana"
"AIRTEL","4G","upload","3636","-101","Haryana"
"JIO","4G","download","25130","-88","Haryana"
"AIRTEL","4G","upload","264","na","Haryana"
"AIRTEL","4G","upload","4628","-112","Haryana"
"AIRTEL","4G","upload","5057","na","Haryana"
"AIRTEL","4G","download","32816","-77","Haryana"
"AIRTEL","4G","download","50888","-100","Haryana"
"JIO","4G","download","398","na","Haryana"
"AIRTEL","4G","download","6157","-102","Haryana"
"AIRTEL","4G","download","38288","-87","Haryana"
"AIRTEL","4G","upload","13039","-84","Haryana"
"AIRTEL","4G","upload","11049","-97","Haryana"
"JIO","4G","upload","12535","-96","Haryana"
"JIO","4G","download","12395","-100","Haryana"
"JIO","4G","upload","8325","-86","Haryana"
"JIO","4G","download","51834","-101","Haryana"
"JIO","4G","upload","5902","-83","Haryana"
"AIRTEL","4G","download","5156","na","Mumbai"
"AIRTEL","4G","download","8293","-99","Haryana"
"JIO","4G","upload","19511","-89","Andhra Pradesh"
"AIRTEL","4G","upload","5397","-97","Haryana"
"JIO","4G","upload","9416","-84","Haryana"
"AIRTEL","4G","download","17319","-100","Maharashtra"
"JIO","4G","upload","2254","-99","Haryana"
"JIO","4G","download","28155","-75","UP West"
"JIO","4G","upload","565","-103","Gujarat"
"AIRTEL","4G","download","8564","-69","Haryana"
"AIRTEL","4G","upload","5254","-95","Haryana"
"JIO","4G","download","80644","-90","Karnataka"
"JIO","4G","upload","3513","-90","Karnataka"
"JIO","4G","upload","29137","-87","North East"
"JIO","4G","upload","8446","-76","Delhi"
"Vi India","4G","download","10043","na","Gujarat"
"JIO","4G","download","66365","-90","Rajasthan"
"JIO","4G","download","22524","-100","Haryana"
"JIO","4G","upload","4484","-90","Kolkata"
"JIO","4G","download","59762","-90","Kolkata"
"JIO","4G","download","74291","-90","Tamil Nadu"
"JIO","4G","upload","2084","-100","Kolkata"
"AIRTEL","4G","upload","658","-106","UP East"
"JIO","4G","upload","9179","-90","Tamil Nadu"
"Vi India","4G","download","7280","-99","Tamil Nadu"
"AIRTEL","4G","download","15617","-90","Haryana"
"AIRTEL","4G","upload","12430","-97","Karnataka"
"AIRTEL","4G","upload","195","-110","Haryana"
"JIO","4G","upload","671","-81","Haryana"
"JIO","4G","download","31570","-81","Haryana"
"JIO","4G","upload","9289","-90","Rajasthan"
"JIO","4G","upload","10192","-90","Rajasthan"
"Vi India","4G","download","15887","-86","Gujarat"
"JIO","4G","upload","6337","-107","Kerala"
"AIRTEL","4G","upload","1987","-94","Haryana"
"JIO","4G","upload","5661","-104","Haryana"
"JIO","4G","download","52760","-82","Haryana"
"JIO","4G","upload","1924","-109","Himachal Pradesh"
"JIO","4G","upload","2704","-91","Haryana"
"JIO","4G","upload","2157","-104","Haryana"
"CELLONE","4G","upload","8155","-105","Gujarat"
"AIRTEL","4G","download","6931","-88","Haryana"
"JIO","4G","upload","1362","-90","Haryana"
"AIRTEL","4G","upload","25210","-93","Haryana"
"JIO","4G","upload","32823","-96","UP East"
"AIRTEL","4G","upload","1730","-103","Haryana"
"JIO","4G","download","22930","-97","Haryana"
"AIRTEL","4G","upload","861","-96","Haryana"
"AIRTEL","4G","upload","4000","-106","Bihar"
"JIO","4G","download","6612","-105","Kerala"
"AIRTEL","4G","download","34235","-90","Haryana"
"AIRTEL","4G","upload","439","-90","Haryana"
"AIRTEL","4G","upload","12746","-83","Tamil Nadu"
"JIO","4G","upload","1223","-72","Haryana"
"JIO","4G","upload","9202","-90","Tamil Nadu"
"JIO","4G","upload","9223","-90","UP East"
"AIRTEL","4G","upload","541","na","Karnataka"
"JIO","4G","upload","3651","-81","Maharashtra"
"JIO","4G","download","68319","-90","Rajasthan"
"JIO","4G","download","29167","-71","Haryana"
"JIO","4G","upload","7554","-90","Tamil Nadu"
"JIO","4G","upload","8480","-90","Maharashtra"
"AIRTEL","4G","upload","1878","-87","Haryana"
"Vi India","4G","download","9631","-93","Maharashtra"
"JIO","4G","upload","1246","na","Haryana"
"AIRTEL","4G","download","28719","-89","Haryana"
"AIRTEL","4G","download","11364","-92","Haryana"
"JIO","4G","upload","1898","-90","Karnataka"
"JIO","4G","upload","2773","-90","Karnataka"
"JIO","4G","download","11117","-68","Maharashtra"
"JIO","4G","upload","7549","-90","Maharashtra"
"Vi India","4G","upload","29605","-81","Chennai"
"AIRTEL","4G","upload","27968","-80","Haryana"
"JIO","4G","upload","7282","-78","Haryana"
"AIRTEL","4G","download","13114","-109","Haryana"
"JIO","4G","upload","1087","-94","Punjab"
"AIRTEL","4G","download","15826","-78","Bihar"
"JIO","4G","download","47642","-90","Orissa"
"JIO","4G","upload","469","-105","Gujarat"
"JIO","4G","download","8283","-106","Andhra Pradesh"
"JIO","4G","upload","7617","-90","UP East"
"JIO","4G","upload","7988","-90","UP East"
"JIO","4G","upload","583","-96","Haryana"
"JIO","4G","upload","3744","-90","Kolkata"
"JIO","4G","upload","1280","-109","UP East"
"JIO","4G","download","59545","-90","UP East"
"JIO","4G","upload","220","-99","Haryana"
"AIRTEL","4G","upload","4746","-93","Haryana"
"Vi India","4G","upload","334","-109","Andhra Pradesh"
"JIO","4G","download","71244","-90","Tamil Nadu"
"JIO","4G","upload","2313","-90","Bihar"
"JIO","4G","download","31728","-90","Bihar"
"JIO","4G","upload","8975","-90","Tamil Nadu"
"JIO","4G","download","16854","-89","UP West"
"AIRTEL","4G","upload","1401","-108","Haryana"
"JIO","4G","download","68022","-90","Bihar"
"JIO","4G","download","59086","-90","Bihar"
"AIRTEL","4G","download","15997","-91","Andhra Pradesh"
"Vi India","4G","download","11314","-93","Maharashtra"
"JIO","4G","upload","9433","-90","UP East"
"AIRTEL","4G","upload","14989","-89","Chennai"
"JIO","4G","upload","2661","-90","Kolkata"
"JIO","4G","upload","1257","-103","Kolkata"
"JIO","4G","upload","22885","-84","Maharashtra"
"JIO","4G","download","3251","-111","UP West"
"JIO","4G","upload","1232","-108","Maharashtra"
"JIO","4G","download","53109","-103","UP East"
"AIRTEL","4G","upload","585","-109","UP East"
"JIO","4G","download","5637","-105","Maharashtra"
"JIO","4G","upload","459","-104","Haryana"
"JIO","4G","download","48197","-90","Kolkata"
"JIO","4G","upload","6345","-90","Delhi"
"JIO","4G","download","47867","-90","Delhi"
"JIO","4G","download","66458","-90","Delhi"
"AIRTEL","4G","upload","237","-103","Haryana"
"JIO","4G","download","86316","-90","Maharashtra"
"JIO","4G","download","67647","-90","Gujarat"
"JIO","4G","upload","6262","-90","Bihar"
"JIO","4G","upload","10566","-87","Haryana"
"JIO","4G","download","91185","-90","Maharashtra"
"CELLONE","3G","upload","2264","-74","Kerala"
"AIRTEL","4G","upload","6040","-98","Assam"
"JIO","4G","upload","9259","-90","Tamil Nadu"
"JIO","4G","download","45598","-90","Tamil Nadu"
"JIO","4G","download","728","na","West Bengal"
"JIO","4G","download","330","na","West Bengal"
"AIRTEL","4G","download","11809","-95","Haryana"
"JIO","4G","download","12629","-98","Haryana"
"JIO","4G","upload","6034","-97","Tamil Nadu"
"AIRTEL","4G","upload","9516","-99","Haryana"
"JIO","4G","upload","240","-105","Haryana"
"JIO","4G","upload","6651","-76","UP West"
"JIO","4G","download","2218","-104","Haryana"
"JIO","4G","download","78716","-90","Kolkata"
"JIO","4G","upload","9321","-90","Tamil Nadu"
"AIRTEL","4G","upload","2782","-97","Haryana"
"JIO","4G","download","4744","-91","Haryana"
"JIO","4G","download","77550","-90","Tamil Nadu"
"AIRTEL","4G","upload","19720","-85","Rajasthan"
"JIO","4G","download","47672","-90","Gujarat"
"JIO","4G","upload","9250","-90","Maharashtra"
"AIRTEL","4G","upload","4232","-106","Haryana"
"AIRTEL","4G","upload","781","-101","Haryana"
"JIO","4G","upload","9305","-90","Maharashtra"
"JIO","4G","download","73552","-90","Tamil Nadu"
"JIO","4G","download","68534","-90","Maharashtra"
"AIRTEL","4G","download","24391","-83","Haryana"
"JIO","4G","upload","9534","-90","Tamil Nadu"
"JIO","4G","upload","9314","-90","Tamil Nadu"
"AIRTEL","4G","upload","288","-102","Haryana"
"AIRTEL","4G","upload","130","na","Kerala"
"JIO","4G","download","67146","-90","Bihar"
"AIRTEL","4G","upload","16007","-89","Delhi"
"JIO","4G","download","73077","-90","Tamil Nadu"
"JIO","4G","upload","8687","-79","Karnataka"
"JIO","4G","upload","6249","-90","Kolkata"
"JIO","4G","download","2056","na","Haryana"
"JIO","4G","upload","4948","-90","Karnataka"
"JIO","4G","upload","7830","-89","Karnataka"
"AIRTEL","4G","upload","6797","-80","Haryana"
"JIO","4G","download","83913","-90","Delhi"
"JIO","4G","download","3103","-101","Haryana"
"JIO","4G","upload","3101","-79","Kolkata"
"AIRTEL","4G","upload","2050","-98","Haryana"
"CELLONE","4G","download","9486","-97","Maharashtra"
"JIO","4G","download","88329","-90","Gujarat"
"AIRTEL","4G","upload","1853","-108","Haryana"
"JIO","4G","download","973","-86","Haryana"
"Vi India","4G","upload","6036","-94","Maharashtra"
"JIO","4G","upload","9718","-90","Tamil Nadu"
"AIRTEL","4G","upload","591","-98","Haryana"
"JIO","4G","download","764","na","Orissa"
"JIO","4G","upload","4978","-90","Kolkata"
"JIO","4G","upload","3276","-83","Haryana"
"AIRTEL","4G","upload","786","-90","Haryana"
"CELLONE","4G","upload","5656","-93","Maharashtra"
"AIRTEL","4G","upload","12969","-81","Haryana"
"JIO","4G","upload","822","-101","Haryana"
"Vi India","4G","upload","3297","-104","Tamil Nadu"
"JIO","4G","upload","9355","-90","Maharashtra"
"JIO","4G","upload","9257","-90","Tamil Nadu"
"AIRTEL","4G","upload","10303","-91","Gujarat"
"Vi India","4G","download","3634","na","Andhra Pradesh"
"JIO","4G","download","59100","-90","Kolkata"
"JIO","4G","upload","15520","-80","Haryana"
"AIRTEL","4G","download","1755","-106","Haryana"
"AIRTEL","4G","download","3899","-103","Haryana"
"JIO","4G","upload","5029","-90","Kolkata"
"AIRTEL","4G","upload","190","-109","Haryana"
"JIO","4G","upload","25828","-69","Haryana"
"JIO","4G","download","2446","-94","Haryana"
"AIRTEL","4G","download","20357","-96","Haryana"
"Vi India","4G","download","10368","-84","Haryana"
"JIO","4G","download","5265","-84","Haryana"
"AIRTEL","4G","upload","7687","-80","Kerala"
"JIO","4G","download","69847","-102","Orissa"
"JIO","4G","download","11409","-85","Haryana"
"JIO","4G","upload","2115","-89","Haryana"
