"operator","technology","download","speed_kbps","signal_strength","lsa"
"AIRTEL","4G","upload","2286","-106","Haryana"
"JIO","4G","download","21284","-78","Haryana"
"Vi India","4G","upload","2050","na","Madhya Pradesh"
"AIRTEL","4G","upload","1072","-111","Gujarat"
"JIO","4G","upload","14939","-96","Madhya Pradesh"
"JIO","4G","download","28897","-80","Haryana"
"AIRTEL","4G","download","58694","-89","Haryana"
"AIRTEL","4G","download","14761","-108","Haryana"
"JIO","4G","upload","22220","-94","Haryana"
"AIRTEL","4G","upload","4557","-92","Haryana"
"AIRTEL","4G","download","31562","-112","Maharashtra"
"AIRTEL","4G","upload","29361","-86","Haryana"
"AIRTEL","4G","download","19009","-103","Haryana"
"JIO","4G","download","47244","-87","Haryana"
"AIRTEL","4G","upload","375","na","Kerala"
"AIRTEL","4G","download","6280","-99","Haryana"
"JIO","4G","download","27328","-108","Haryana"
"AIRTEL","4G","download","29130","-100","Haryana"
"AIRTEL","4G","download","49553","-96","Haryana"
"JIO","4G","download","32879","-79","Haryana"
"AIRTEL","4G","download","4001","-104","Haryana"
"CELLONE","3G","upload","1160","-93","West Bengal"
"AIRTEL","4G","download","33956","-107","Haryana"
"JIO","4G","download","19498","-65","Haryana"
"JIO","4G","upload","15044","-85","Haryana"
"AIRTEL","4G","upload","590","-92","Haryana"
"JIO","4G","upload","1673","-100","Haryana"
"JIO","4G","upload","9378","-81","Haryana"
"AIRTEL","4G","upload","5059","-106","Haryana"
"Vi India","4G","upload","9505","-108","West Bengal"
"AIRTEL","4G","download","2255","-112","Kerala"
"AIRTEL","4G","upload","5715","-88","Haryana"
"JIO","4G","upload","22492","-74","Haryana"
"AIRTEL","4G","download","8534","-105","Haryana"
"JIO","4G","upload","4906","-103","Haryana"
"JIO","4G","upload","4739","-93","Haryana"
"AIRTEL","4G","download","95652","-100","Maharashtra"
"JIO","4G","download","52622","-112","Tamil Nadu"
"JIO","4G","download","50861","-84","Bihar"
"JIO","4G","upload","742","-97","Orissa"
"JIO","4G","upload","10256","-105","Kerala"
"AIRTEL","4G","download","9114","-89","Mumbai"
"JIO","4G","download","9403","-76","Haryana"
"JIO","4G","upload","1011","-110","Haryana"
"JIO","4G","download","32708","-89","Gujarat"
"AIRTEL","4G","download","19621","-103","Haryana"
"JIO","4G","upload","5601","-73","Haryana"
"AIRTEL","4G","upload","18174","-90","Haryana"
"JIO","4G","upload","2193","-103","Orissa"
"AIRTEL","4G","upload","1259","-95","Rajasthan"
"JIO","4G","download","4864","-110","Haryana"
"JIO","4G","download","14554","-86","Haryana"
"JIO","4G","download","57929","-90","Orissa"
"AIRTEL","4G","upload","1539","-101","Haryana"
"JIO","4G","download","57763","-90","Orissa"
"JIO","4G","upload","9237","-90","Tamil Nadu"
"JIO","4G","upload","3899","-90","Bihar"
"JIO","4G","download","9350","-103","Andhra Pradesh"
"AIRTEL","4G","upload","1363","-103","Haryana"
"AIRTEL","4G","upload","718","-90","Haryana"
"JIO","4G","upload","105","na","Haryana"
"AIRTEL","4G","download","30988","-99","Haryana"
"JIO","4G","download","88439","-90","Rajasthan"
"AIRTEL","4G","download","12658","-88","Haryana"
"AIRTEL","4G","download","19191","-89","Haryana"
"JIO","4G","upload","319","-109","Haryana"
"JIO","4G","download","8644","-92","Haryana"
"JIO","4G","upload","589","-70","Bihar"
"JIO","4G","download","56275","-90","Orissa"
"JIO","4G","download","12883","-99","Haryana"
"JIO","4G","upload","241","-88","Haryana"
"JIO","4G","download","67157","-90","Rajasthan"
"JIO","4G","upload","1785","na","Tamil Nadu"
"JIO","4G","download","20863","-95","Haryana"
"AIRTEL","4G","download","9348","na","Delhi"
"AIRTEL","4G","download","26842","-90","Haryana"
"JIO","4G","upload","9608","-90","Rajasthan"
"AIRTEL","4G","upload","385","-105","West Bengal"
"JIO","4G","upload","10069","-90","Rajasthan"
"JIO","4G","upload","501","-112","Kerala"
"JIO","4G","upload","162","-90","Haryana"
"JIO","4G","download","92300","-101","Karnataka"
"JIO","4G","upload","3143","-105","Bihar"
"AIRTEL","4G","upload","794","-73","Haryana"
"AIRTEL","4G","upload","1568","-100","UP East"
"JIO","4G","download","84427","-90","Kolkata"
"JIO","4G","download","31942","-95","UP East"
"JIO","4G","download","21164","-100","Haryana"
"JIO","4G","upload","36750","-86","Madhya Pradesh"
"JIO","4G","upload","1529","-89","Haryana"
"AIRTEL","4G","download","3571","-100","Haryana"
"JIO","4G","download","69125","-91","UP West"
